单词,词性,释义,等级,真题原句,原句译文,上文,下文,题目情境,原题,原题译文,年份,套次,题型,篇目,出现次数
not,adv.,★不；没有；并非,A 基础高频,The explanation is not that people are foolish.,解释并不是人们愚蠢。,"A study that examined millions of messages shared online reached an uncomfortable conclusion: false information travels faster, further and deeper than accurate information.","It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,73
not,adv.,★不；没有；并非,A 基础高频,The route is not random.,这条路线不是随机的。,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.","Items that generate the highest profit are positioned at eye level, while cheaper alternatives are placed on the lowest shelves, where adults rarely look and children do.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,73
have,v./aux.,★有；使；吃；已经(构成完成时),A 基础高频,"Nature reserves are usually drawn on maps as if the land were empty, but in most cases people have lived on it for generations.",自然保护区在地图上画出来时，那片土地仿佛是空的，但在多数情况下，人们已经在那里世代居住。,,"When a reserve is created, those residents may suddenly find that the activities which fed their families are now forbidden, while the animals they were asked to protect destroy their crops.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,71
have,v./aux.,★有；使；吃；已经(构成完成时),A 基础高频,"Platforms have tried various responses, from warnings to removing content, but the most effective measure appears to be slower: teaching users to check the source before sharing.",平台尝试过各种应对手段，从贴警告到下架内容，但最有效的办法似乎更慢：教用户在转发前先核实来源。,"People share material that expresses emotion, and rumours tend to be written in emotional language, whereas corrections are sober and careful, which makes them far less attractive.","Studies suggest that even a brief pause, prompted by a simple question, reduces the number of false stories people forward.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,71
have,v./aux.,★有；使；吃；已经(构成完成时),A 基础高频,"Critics reply that the layout is designed to defeat self-control, and several countries have discussed regulations requiring stores to place healthy food in prominent positions.",批评者则反驳说，这种布局就是设计来打败自制力的，一些国家已经在讨论立法，要求商店把健康食品放在显眼位置。,"Supermarkets defend these techniques as a service to customers, arguing that a logical arrangement helps people find what they need.","Whether such rules would work is uncertain, but the debate has made one thing clear: the modern supermarket is not a neutral space.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,71
has,v./aux.,★有(have 的第三人称单数),A 基础高频,"Interest, meanwhile, has a practical value that is easy to overlook: students who are genuinely curious study harder, absorb material faster, and are more willing to persist when a course becomes difficult.",与此同时，兴趣有一种容易被忽视的实用价值：真正好奇的学生学得更投入、吸收更快，也更愿意在课程变难时坚持下去。,"Graduates who selected a subject mainly because of its employment prospects are not necessarily happier in their work, and a substantial proportion of them leave the field within five years.","That said, it would be dishonest to ignore the market.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,69
has,v./aux.,★有(have 的第三人称单数),A 基础高频,Anyone who has entered a supermarket for a litre of milk and left with a basket full of goods has experienced the most carefully studied layout in retail.,任何一位为了一升牛奶走进超市、最后拎着满满一篮子商品出来的人，都体验过零售业里研究得最透彻的布局。,,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,69
has,v./aux.,★有(have 的第三人称单数),A 基础高频,Supporters of the traditional exam reply that it has one virtue no alternative has matched: it is difficult to cheat when hundreds of students answer the same questions at the same time under supervision.,传统考试的支持者反驳说，它有一个替代方案比不了的优点：几百人在同一时间、有人监考的情况下回答同样的问题，很难作弊。,"They propose continuous assessment instead: essays, projects and short tests spread across the term, which they claim give a fairer picture of a student's ability.","They also point out that continuous assessment places a heavy burden on teachers, who must mark far more work, and that students in such systems often complain about the constant pressure of deadlines.",仔细阅读：大学是否应该取消期末考试,46. What is the passage mainly about?,这篇文章主要讲什么？,2023年12月,第1套,仔细阅读,Passage One,69
than,conj./prep.,★比；与…相比,A 基础高频,"A study that examined millions of messages shared online reached an uncomfortable conclusion: false information travels faster, further and deeper than accurate information.",一项研究了数百万条网络转发信息的研究，得出了一个令人不安的结论：虚假信息比真实信息传得更快、更远、更深。,,The explanation is not that people are foolish.,仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,67
than,conj./prep.,★比；与…相比,A 基础高频,"Telemedicine expanded rapidly when patients could not visit clinics, and many of them discovered that a consultation conducted from home was more convenient than a journey across the city followed by an hour in a waiting room.",当病人无法到诊所时，远程医疗迅速铺开，许多病人发现在家问诊，比横穿城市再在候诊室坐上一小时要方便得多。,,"For routine matters, such as renewing a prescription or discussing test results, the telephone or a video call is clearly sufficient, and it saves both the patient and the hospital a great deal of time.",仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,67
than,conj./prep.,★比；与…相比,A 基础高频,Yet a series of experiments suggests that the wrong kind of praise can make children more fragile rather than more confident.,然而一系列实验表明，错误的表扬方式会让孩子更脆弱，而不是更自信。,"Parents and teachers are constantly advised to praise children, and the advice is seldom questioned.","In one study, pupils who were told they were clever after solving a simple puzzle later chose easier tasks, apparently because they wished to protect the reputation they had just been given.",仔细阅读：赞美的效果为什么常常适得其反,46. What is the main idea of the passage?,这篇文章的主旨是什么？,2022年6月,第1套,仔细阅读,Passage One,67
more,adj./adv.,★更多的；更；另外的,A 基础高频,"Experiments show that customers are more likely to buy when they can see the comparison, even when the so-called original price was never actually charged.",实验表明，只要能看到对照，顾客就更可能下单，哪怕那个所谓的原价其实从未真正收过。,"Retailers understand the mechanism perfectly, which is why the original price is almost always displayed beside the reduced one.",The feeling of scarcity intensifies the effect.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,65
more,adj./adv.,★更多的；更；另外的,A 基础高频,"It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.",而是谣言通常比真相更让人意外，而意外正是值得转发出去的东西。,The explanation is not that people are foolish.,"A story about an ordinary event produces no desire to share it, while a story that seems incredible demands an audience.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,65
more,adj./adv.,★更多的；更；另外的,A 基础高频,"Music is slower at weekends, when shoppers are less hurried and therefore more likely to buy things they had not planned.",周末的音乐节奏更慢，因为那时购物者不赶时间，更容易买下原本没打算买的东西。,"Items that generate the highest profit are positioned at eye level, while cheaper alternatives are placed on the lowest shelves, where adults rarely look and children do.","Supermarkets defend these techniques as a service to customers, arguing that a logical arrangement helps people find what they need.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,65
their,pron.,★他们的；她们的；它们的,A 基础高频,"When a reserve is created, those residents may suddenly find that the activities which fed their families are now forbidden, while the animals they were asked to protect destroy their crops.",保护区一设立，这些居民可能突然发现，养活一家人的营生现在被禁止了，而他们被要求保护的动物却毁了他们的庄稼。,"Nature reserves are usually drawn on maps as if the land were empty, but in most cases people have lived on it for generations.","Unsurprisingly, resentment follows, and in several countries poaching increased after protection was introduced.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,65
their,pron.,★他们的；她们的；它们的,A 基础高频,"Graduates who selected a subject mainly because of its employment prospects are not necessarily happier in their work, and a substantial proportion of them leave the field within five years.",主要因为就业前景而选择专业的毕业生，工作时未必更开心，其中相当大一部分人在五年内就离开了这个领域。,"The debate is usually presented as a choice between idealism and realism, but the evidence does not support such a sharp distinction.","Interest, meanwhile, has a practical value that is easy to overlook: students who are genuinely curious study harder, absorb material faster, and are more willing to persist when a course becomes difficult.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,65
their,pron.,★他们的；她们的；它们的,A 基础高频,Doctors also report that some patients speak more frankly in their own living rooms than they do in a consulting room.,医生还反映，有些病人在自家客厅里说得比在诊室里更坦率。,"For routine matters, such as renewing a prescription or discussing test results, the telephone or a video call is clearly sufficient, and it saves both the patient and the hospital a great deal of time.",Yet there are limits that no improvement in video quality will remove.,仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,65
student,n.,★学生；大学生；研究者,A 基础高频,"Every year, families argue about the same question: should a student choose the subject they love, or the one that leads to a secure job?",每年，家家户户都在争论同一个问题：学生该选自己喜欢的专业，还是选好就业的那个？,,"The debate is usually presented as a choice between idealism and realism, but the evidence does not support such a sharp distinction.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,60
student,n.,★学生；大学生；研究者,A 基础高频,"Teachers who have adopted this approach report that students become more willing to attempt questions they cannot immediately answer, and that classrooms become quieter places where mistakes are discussed rather than hidden.",采用这种做法的教师反映，学生更愿意去尝试不能立刻答出的问题，课堂也变得更安静，错误被拿出来讨论，而不是被藏起来。,"Praise for effort teaches that ability grows with practice, so failure becomes information.",,仔细阅读：赞美的效果为什么常常适得其反,46. What is the main idea of the passage?,这篇文章的主旨是什么？,2022年6月,第1套,仔细阅读,Passage One,60
student,n.,★学生；大学生；研究者,A 基础高频,"Every summer, students sit in crowded halls and try to recall, in three hours, everything they were supposed to have learned in a semester.",每年夏天，学生们挤在考场里，试图用三个小时回忆起一整个学期本该学会的所有东西。,,"Critics argue that this ritual measures memory under pressure rather than genuine understanding, and that a single afternoon should not determine a student's grade.",仔细阅读：大学是否应该取消期末考试,46. What is the passage mainly about?,这篇文章主要讲什么？,2023年12月,第1套,仔细阅读,Passage One,60
people,n.,★人们；人民；民族；国民；家人,A 基础高频,"to the question ""will I regret leaving it? People are not irrational to enjoy a bargain.",人们喜欢捡便宜并不算不理性。,"A discount that ends tonight produces a mild panic, and panic is a poor adviser: it shifts attention from the question ""do I want this?",They simply fail to notice that the money saved on an unwanted object is still money spent.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,55
people,n.,★人们；人民；民族；国民；家人,A 基础高频,The explanation is not that people are foolish.,解释并不是人们愚蠢。,"A study that examined millions of messages shared online reached an uncomfortable conclusion: false information travels faster, further and deeper than accurate information.","It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,55
people,n.,★人们；人民；民族；国民；家人,A 基础高频,"Supermarkets defend these techniques as a service to customers, arguing that a logical arrangement helps people find what they need.",超市为这些手法辩护，称这是对顾客的服务，认为符合逻辑的摆放有助于人们找到需要的东西。,"Music is slower at weekends, when shoppers are less hurried and therefore more likely to buy things they had not planned.","Critics reply that the layout is designed to defeat self-control, and several countries have discussed regulations requiring stores to place healthy food in prominent positions.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,55
with,prep.,★和…一起；具有；用；由于,A 基础高频,Conservationists sometimes regard such arrangements as a compromise with principle.,环保人士有时认为这种安排是对原则的妥协。,"Where villagers are employed as guides, or where a proportion of the entrance fee is returned to the community, attitudes change within a few years, and local residents begin to report illegal hunting themselves.","In practice, they are the only arrangement that survives contact with the people who live beside the animals.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,47
with,prep.,★和…一起；具有；用；由于,A 基础高频,"A sensible approach is to treat employment data as information rather than as an instruction, and to ask how a subject can be combined with skills that employers value, such as writing clearly, analysing data or speaking another language.",明智的做法是把就业数据当作信息而不是指令，并思考如何把一个专业与雇主看重的能力结合起来，比如写得清楚、会分析数据或会说一门外语。,"That said, it would be dishonest to ignore the market.",The students who do best are rarely those who followed a formula.,仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,47
with,prep.,★和…一起；具有；用；由于,A 基础高频,Anyone who has entered a supermarket for a litre of milk and left with a basket full of goods has experienced the most carefully studied layout in retail.,任何一位为了一升牛奶走进超市、最后拎着满满一篮子商品出来的人，都体验过零售业里研究得最透彻的布局。,,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,47
them,pron.,★他们；她们；它们,A 基础高频,"People share material that expresses emotion, and rumours tend to be written in emotional language, whereas corrections are sober and careful, which makes them far less attractive.",人们会转发带有情绪的内容，而谣言往往用情绪化的语言写成，相比之下辟谣文字克制而谨慎，吸引力就差得多。,There is a second factor.,"Platforms have tried various responses, from warnings to removing content, but the most effective measure appears to be slower: teaching users to check the source before sharing.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,44
them,pron.,★他们；她们；它们,A 基础高频,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.",牛奶、面包和鸡蛋这类必需品被有意放在商店最里面或相对的两侧，顾客为了拿到它们，必须经过几百种其他商品。,Anyone who has entered a supermarket for a litre of milk and left with a basket full of goods has experienced the most carefully studied layout in retail.,The route is not random.,仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,44
them,pron.,★他们；她们；它们,A 基础高频,"Where buses are frequent, predictable and clean, people use them regardless of income; where services are irregular, even passengers who cannot afford a car will borrow money to avoid them.",在公交班次密集、准点、干净的地方，无论收入高低人们都会坐；在服务不稳定的地方，连买不起车的人也会借钱躲开公交。,"The usual explanation is cost, but surveys consistently show something else.","Reliability is the decisive factor, because a journey that may take twenty minutes or fifty cannot be planned around, and an unplannable journey is useless for anyone who must arrive at a fixed time.",仔细阅读：人们为什么不愿使用公共交通,50. What does the author argue?,作者的论点是什么？,2022年6月,第1套,仔细阅读,Passage Two,44
can,v./aux.,★能；可以；可能,A 基础高频,"Experiments show that customers are more likely to buy when they can see the comparison, even when the so-called original price was never actually charged.",实验表明，只要能看到对照，顾客就更可能下单，哪怕那个所谓的原价其实从未真正收过。,"Retailers understand the mechanism perfectly, which is why the original price is almost always displayed beside the reduced one.",The feeling of scarcity intensifies the effect.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,41
can,v./aux.,★能；可以；可能,A 基础高频,"A sensible approach is to treat employment data as information rather than as an instruction, and to ask how a subject can be combined with skills that employers value, such as writing clearly, analysing data or speaking another language.",明智的做法是把就业数据当作信息而不是指令，并思考如何把一个专业与雇主看重的能力结合起来，比如写得清楚、会分析数据或会说一门外语。,"That said, it would be dishonest to ignore the market.",The students who do best are rarely those who followed a formula.,仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,41
can,v./aux.,★能；可以；可能,A 基础高频,Yet a series of experiments suggests that the wrong kind of praise can make children more fragile rather than more confident.,然而一系列实验表明，错误的表扬方式会让孩子更脆弱，而不是更自信。,"Parents and teachers are constantly advised to praise children, and the advice is seldom questioned.","In one study, pupils who were told they were clever after solving a simple puzzle later chose easier tasks, apparently because they wished to protect the reputation they had just been given.",仔细阅读：赞美的效果为什么常常适得其反,46. What is the main idea of the passage?,这篇文章的主旨是什么？,2022年6月,第1套,仔细阅读,Passage One,41
from,prep.,★从；来自；由于,A 基础高频,Economists call this the transaction utility: the pleasure comes not from the object but from the bargain itself.,"经济学家称之为交易效用：快感不来自商品本身，而来自""捡了便宜""这件事。","Shoppers who would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.","Retailers understand the mechanism perfectly, which is why the original price is almost always displayed beside the reduced one.",仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,39
from,prep.,★从；来自；由于,A 基础高频,"Platforms have tried various responses, from warnings to removing content, but the most effective measure appears to be slower: teaching users to check the source before sharing.",平台尝试过各种应对手段，从贴警告到下架内容，但最有效的办法似乎更慢：教用户在转发前先核实来源。,"People share material that expresses emotion, and rumours tend to be written in emotional language, whereas corrections are sober and careful, which makes them far less attractive.","Studies suggest that even a brief pause, prompted by a simple question, reduces the number of false stories people forward.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,39
from,prep.,★从；来自；由于,A 基础高频,"Telemedicine expanded rapidly when patients could not visit clinics, and many of them discovered that a consultation conducted from home was more convenient than a journey across the city followed by an hour in a waiting room.",当病人无法到诊所时，远程医疗迅速铺开，许多病人发现在家问诊，比横穿城市再在候诊室坐上一小时要方便得多。,,"For routine matters, such as renewing a prescription or discussing test results, the telephone or a video call is clearly sufficient, and it saves both the patient and the hospital a great deal of time.",仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,39
year,n.,★年；年份；学年；岁,A 基础高频,"Where villagers are employed as guides, or where a proportion of the entrance fee is returned to the community, attitudes change within a few years, and local residents begin to report illegal hunting themselves.",在村民被雇来做导游、或门票收入有一部分返还给社区的地方，几年之内态度就会转变，当地居民甚至会主动举报非法狩猎。,Projects that have succeeded tend to share one feature: the people who bear the cost also receive a share of the benefit.,Conservationists sometimes regard such arrangements as a compromise with principle.,仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,39
year,n.,★年；年份；学年；岁,A 基础高频,"Every year, families argue about the same question: should a student choose the subject they love, or the one that leads to a secure job?",每年，家家户户都在争论同一个问题：学生该选自己喜欢的专业，还是选好就业的那个？,,"The debate is usually presented as a choice between idealism and realism, but the evidence does not support such a sharp distinction.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,39
year,n.,★年；年份；学年；岁,A 基础高频,"For decades, the standard advice given to ambitious young workers was to change jobs every few years, since moving was the fastest way to raise a salary.",几十年来，给有抱负的年轻人的标准建议是每隔几年换一次工作，因为跳槽是涨薪最快的途径。,,Recent surveys suggest that the mood has shifted.,仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,39
this,adj./pron.,★这；这个；这样,A 基础高频,Economists call this the transaction utility: the pleasure comes not from the object but from the bargain itself.,"经济学家称之为交易效用：快感不来自商品本身，而来自""捡了便宜""这件事。","Shoppers who would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.","Retailers understand the mechanism perfectly, which is why the original price is almost always displayed beside the reduced one.",仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,35
this,adj./pron.,★这；这个；这样,A 基础高频,"Researchers measured this by comparing how novel each message was, and found that falsehoods were consistently rated as more unexpected.",研究人员通过衡量每条信息的新奇程度测出了这一点，发现虚假信息一贯被评为更出人意料。,"A story about an ordinary event produces no desire to share it, while a story that seems incredible demands an audience.",There is a second factor.,仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,35
this,adj./pron.,★这；这个；这样,A 基础高频,"Teachers who have adopted this approach report that students become more willing to attempt questions they cannot immediately answer, and that classrooms become quieter places where mistakes are discussed rather than hidden.",采用这种做法的教师反映，学生更愿意去尝试不能立刻答出的问题，课堂也变得更安静，错误被拿出来讨论，而不是被藏起来。,"Praise for effort teaches that ability grows with practice, so failure becomes information.",,仔细阅读：赞美的效果为什么常常适得其反,46. What is the main idea of the passage?,这篇文章的主旨是什么？,2022年6月,第1套,仔细阅读,Passage One,35
