# 12_Everyday.txt — 生活场景基础词（第三轮补充）
# 三轮补词后，语料里剩下的高频未收录词主要是日常生活与校园场景的基础名词、
# 动词和形容词。这些词单看都会，但在真题长句里常因不熟搭配而读不通。
# 格式：单词|词性|义项(;分隔,*为常考义)|等级|搭配提示

saves|v.|*节省(save 的第三人称单数)|A|—
created|v.|*创造(create 的过去式/过去分词)|A|—
recorded|v.|*记录(record 的过去式/过去分词)|A|—
planned|v./adj.|*计划(plan 的过去式);有计划的|A|—
tried|v.|*尝试(try 的过去式);努力|A|—
eating|v.|*吃(eat 的现在分词)|A|eating habits 饮食习惯
activity|n.|*活动;活跃;行动|A|after-school activity 课外活动
activities|n.|*活动(activity 的复数)|A|—
relationship|n.|*关系;关联;亲属关系|A|—
behaviour|n.|*行为;举止;表现|A|consumer behaviour 消费行为
management|n.|*管理;经营;管理层|A|time management 时间管理
intelligence|n.|*智力;智慧;情报|A|artificial intelligence 人工智能
assessment|n.|*评估;评价;评定|A|continuous assessment 持续评估
payment|n.|*支付;付款;报酬|A|mobile payment 移动支付
platform|n.|*平台;站台;纲领|A|online platform 在线平台
platforms|n.|*平台(platform 的复数)|A|—
machines|n.|*机器(machine 的复数)|A|—
robots|n.|*机器人(robot 的复数)|A|—
drivers|n.|*司机;驱动因素(driver 的复数)|A|—
owners|n.|*所有者(owner 的复数)|A|—
critics|n.|*批评家;评论家(critic 的复数)|A|—
economists|n.|*经济学家(economist 的复数)|A|—
doctors|n.|*医生(doctor 的复数)|A|—
nobody|pron.|*没有人;无人|A|—
someone|pron.|*某人;有人|A|—
everything|pron.|*一切;所有事物|A|—
things|n.|*东西;事情(thing 的复数)|A|—
thing|n.|*东西;事情;物品|A|—
goods|n.|*商品;货物|A|—
music|n.|*音乐;乐曲;乐谱|A|listen to music 听音乐
picture|n./v.|*图片;照片;想象|A|take a picture 拍照
message|n./v.|*消息;信息;留言|A|text message 短信
hobby|n.|*爱好;业余爱好|A|—
diet|n.|*饮食;节食;日常饮食|A|balanced diet 均衡饮食
fruit|n.|*水果;成果;果实|A|—
rice|n.|*米;米饭;稻|A|—
chopsticks|n.|*筷子|A|—
taste|n./v.|*味道;品味;品尝|A|—
sleep|v./n.|*睡觉;睡眠|A|—
room|n.|*房间;空间;余地|A|make room for 为…腾出空间
museum|n.|*博物馆;展览馆|A|—
entrance|n.|*入口;进入;入学|A|entrance exam 入学考试
electricity|n.|*电;电力;电流|A|—
district|n.|*地区;区域;行政区|A|—
districts|n.|*地区(district 的复数)|A|—
streets|n.|*街道(street 的复数)|A|—
route|n.|*路线;途径;航线|A|bus route 公交线路
journey|n.|*旅程;行程;旅行|A|—
bike|n.|*自行车|A|—
bicycles|n.|*自行车(bicycle 的复数)|A|—
cycle|v./n.|*骑自行车;循环;周期|A|—
cycle lane|n.|*自行车道|A|—
planner|n.|*规划者;计划表;设计者|A|daily planner 日程本
packaging|n.|*包装;包装材料|A|—
reusable|adj.|*可重复使用的|A|reusable bag 可重复使用的袋子
environmental|adj.|*环境的;有关环境的|A|environmental protection 环境保护
necessary|adj.|*必要的;必需的|A|if necessary 如有必要
popular|adj.|*流行的;受欢迎的;大众的|A|be popular with 受…欢迎
serious|adj.|*严肃的;严重的;认真的|A|—
sharp|adj.|*锐利的;急剧的;敏锐的|A|a sharp rise 急剧上升
quiet|adj./n.|*安静的;平静的;安静|A|keep quiet 保持安静
simple|adj.|*简单的;朴素的;单纯的|A|simple and clear 简单明了
slow|adj./v.|*缓慢的;减速|A|slow down 减速
smaller|adj.|*更小的|A|—
lower|adj./v.|*较低的;降低|A|lower the cost 降低成本
uncomfortable|adj.|*不舒服的;不自在的|A|—
foolish|adj.|*愚蠢的;傻的|A|—
surprising|adj.|*令人惊讶的|A|—
green|adj./n.|*绿色的;环保的;绿色|A|green energy 绿色能源
good|adj.|*好的;擅长的;有益的|A|be good at 擅长
bad|adj.|*坏的;严重的;有害的|A|be bad for 对…有害
certain|adj.|*确定的;某个;必然的|A|for certain 确定地
real|adj.|*真实的;真正的;实际的|A|—
really|adv.|*真正地;确实;非常|A|—
actually|adv.|*实际上;事实上;居然|A|—
easily|adv.|*容易地;无疑地|A|—
easier|adj./adv.|*更容易的;更容易地|A|—
sometimes|adv.|*有时;间或|A|—
repeatedly|adv.|*反复地;再三地|A|—
later|adv./adj.|*后来;较晚的;稍后|A|sooner or later 早晚
ago|adv.|*以前;以往|A|—
then|adv.|*然后;那时;那么|A|by then 到那时
until|prep./conj.|*直到;在…以前|A|not...until 直到…才
through|prep./adv.|*穿过;通过;从头到尾|A|go through 经历
across|prep./adv.|*穿过;横过;在…对面|A|come across 偶遇
along|prep./adv.|*沿着;一起;向前|A|along with 连同
around|prep./adv.|*在…周围;大约;到处|A|around the world 全世界
behind|prep./adv.|*在…后面;迟于;落后|A|leave behind 留下
away|adv.|*离开;在远处;消失|A|far away 遥远
down|adv./prep.|*向下;沿着;减少|A|down to 直到
why|adv.|*为什么;…的原因|A|why not 为什么不
near|prep./adj.|*靠近;接近的|A|near by 在附近
next|adj./adv.|*下一个的;接下来;紧邻的|A|next to 紧挨着
last|adj./v.|*最后的;上一个;持续|A|at last 最后
front|n./adj.|*前面;正面;前部的|A|in front of 在…前面
order|n./v.|*顺序;命令;订购;秩序|A|in order 井然有序
twenty|num.|*二十|A|—
thirty|num.|*三十|A|—
age|n./v.|*年龄;时代;变老|A|at the age of 在…岁时
elderly|adj.|*年长的;上了年纪的|A|the elderly 老年人
kind|n./adj.|*种类;友好的;善良的|A|kind of 有点儿
sound|n./v.|*声音;听起来;合理的|A|sound like 听起来像
air|n.|*空气;天空;气氛|A|by air 乘飞机
trees|n.|*树(tree 的复数)|A|—
spread|v./n.|*传播;展开;蔓延|A|spread out 散开
differ|v.|*不同;相异;意见不合|A|differ from 与…不同
emphasise|v.|*强调;着重;使突出|A|—
analyse|v.|*分析;解析|A|—
examine|v.|*检查;审查;考核|A|—
communicate|v.|*交流;沟通;传达|A|communicate with 与…交流
inconvenience|n.|*不便;麻烦|A|—
regulations|n.|*规章;条例(regulation 的复数)|A|—
consumption|n.|*消费;消耗;消耗量|A|energy consumption 能源消耗
association|n.|*协会;联想;关联|A|—
robot|n.|*机器人;自动装置|A|robot arm 机械臂
artificial|adj.|*人造的;人工的;虚假的|A|artificial intelligence 人工智能
machine|n.|*机器;机械装置|A|by machine 用机器
like|prep./v.|*像,如同;喜欢;想要|A|feel like 想要
go|v.|*去;变得;进行;运转|A|go on 继续
step|n./v.|*步骤;台阶;措施;踏|A|step by step 逐步
face|n./v.|*脸;表面;面对;面临|A|face up to 勇敢面对
able|adj.|*能够的;有能力的|A|be able to 能够
morning|n.|*早晨;上午|A|in the morning 在早上
ideas|n.|*主意;想法(idea 的复数)|A|—
collection|n.|*收藏;收集;作品集|A|—
stage|n.|*阶段;舞台;时期|A|at this stage 在这个阶段
connection|n.|*联系;连接;关联|A|in connection with 与…有关
combination|n.|*结合;组合;联合|A|a combination of 两者的结合
audience|n.|*观众;听众;读者|A|target audience 目标受众
exposure|n.|*暴露;接触;曝光|A|exposure to 接触
cash|n./v.|*现金;兑现|A|in cash 用现金
drug|n.|*药物;毒品|A|drug store 药店
juice|n.|*果汁;汁液|A|—
programme|n.|*节目;计划;方案|B|—
saw|v.|*看见(see 的过去式);锯|A|—
